Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-29 21:46:35,2019-07-29 21:46:36,1.091s,PASSED
navigateToUrl(Site_URL),Chrome 75.0.3770.100,,,2019-07-29 21:46:36,2019-07-29 21:46:41,5.297s,PASSED
"verifyMatch(getUrl(), Site_URL, false)",Chrome 75.0.3770.100,,,2019-07-29 21:46:41,2019-07-29 21:46:41,0.011s,PASSED
"click(findTestObject(""Login/Page_Index/link-Login""))",Chrome 75.0.3770.100,,,2019-07-29 21:46:41,2019-07-29 21:46:42,0.798s,PASSED
"loginAction(userInvalid, passwordInvalid)",Chrome 75.0.3770.100,,,2019-07-29 21:46:42,2019-07-29 21:46:42,0.002s,PASSED
"setText(findTestObject(""Login/Page_SignIn/input_UserName""), username)",Chrome 75.0.3770.100,,,2019-07-29 21:46:42,2019-07-29 21:46:42,0.214s,PASSED
"setEncryptedText(findTestObject(""Login/Page_SignIn/input_Password""), password)",Chrome 75.0.3770.100,,,2019-07-29 21:46:42,2019-07-29 21:46:42,0.187s,PASSED
"click(findTestObject(""Login/Page_SignIn/btn_signIn""))",Chrome 75.0.3770.100,,,2019-07-29 21:46:42,2019-07-29 21:46:43,0.803s,PASSED
"verifyElementText(findTestObject(""Login/Page_SignIn/label_errorMessage""), errorInvalid)",Chrome 75.0.3770.100,,,2019-07-29 21:46:43,2019-07-29 21:46:43,0.084s,PASSED
"loginAction(userValid, passwordValid)",Chrome 75.0.3770.100,,,2019-07-29 21:46:43,2019-07-29 21:46:43,0.000s,PASSED
"setText(findTestObject(""Login/Page_SignIn/input_UserName""), username)",Chrome 75.0.3770.100,,,2019-07-29 21:46:43,2019-07-29 21:46:43,0.138s,PASSED
"setEncryptedText(findTestObject(""Login/Page_SignIn/input_Password""), password)",Chrome 75.0.3770.100,,,2019-07-29 21:46:43,2019-07-29 21:46:43,0.117s,PASSED
"click(findTestObject(""Login/Page_SignIn/btn_signIn""))",Chrome 75.0.3770.100,,,2019-07-29 21:46:43,2019-07-29 21:46:46,2.331s,PASSED
"verifyElementText(findTestObject(""Login/Page_Member/link-Username""), userName)",Chrome 75.0.3770.100,,,2019-07-29 21:46:46,2019-07-29 21:46:46,0.028s,PASSED
closeBrowser(),Chrome 75.0.3770.100,,,2019-07-29 21:46:46,2019-07-29 21:46:46,0.149s,PASSED
