Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
countResult = lelongweb.keyword.countElement(searchResultList),Chrome 75.0.3770.100,,,2019-07-29 22:04:36,2019-07-29 22:04:36,0.166s,PASSED
"verifyGreaterThan(countResult, 6)",Chrome 75.0.3770.100,,,2019-07-29 22:04:36,2019-07-29 22:04:36,0.007s,PASSED
"getText(findTestObject(""SearchProduct/Page_Result/span_resultInItems"")).contains(searchValid)",Chrome 75.0.3770.100,,,2019-07-29 22:04:36,2019-07-29 22:04:36,0.049s,PASSED
closeBrowser(),Chrome 75.0.3770.100,,,2019-07-29 22:04:36,2019-07-29 22:04:36,0.146s,PASSED
,,,,,,,
Test Cases/Register,Chrome 75.0.3770.100,To validate register page,,2019-07-29 22:04:36,2019-07-29 22:04:44,8.071s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-29 22:04:36,2019-07-29 22:04:37,1.098s,PASSED
navigateToUrl(Site_URL),Chrome 75.0.3770.100,,,2019-07-29 22:04:37,2019-07-29 22:04:42,4.686s,PASSED
"verifyMatch(getUrl(), Site_URL, false)",Chrome 75.0.3770.100,,,2019-07-29 22:04:42,2019-07-29 22:04:42,0.008s,PASSED
"click(findTestObject(""Register/Page_Index/link-Register""))",Chrome 75.0.3770.100,,,2019-07-29 22:04:42,2019-07-29 22:04:44,1.946s,PASSED
"verifyElementText(findTestObject(""Register/Page_Register/label_signUp""), signUpLabel)",Chrome 75.0.3770.100,,,2019-07-29 22:04:44,2019-07-29 22:04:44,0.064s,PASSED
closeBrowser(),Chrome 75.0.3770.100,,,2019-07-29 22:04:44,2019-07-29 22:04:44,0.155s,PASSED
,,,,,,,
Test Cases/Login,Chrome 75.0.3770.100,To validate login activity,,2019-07-29 22:04:44,2019-07-29 22:05:14,29.494s,FAILED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-29 22:04:44,2019-07-29 22:04:45,0.990s,PASSED
navigateToUrl(Site_URL),Chrome 75.0.3770.100,,,2019-07-29 22:04:45,2019-07-29 22:04:53,8.121s,PASSED
"verifyMatch(getUrl(), Site_URL, false)",Chrome 75.0.3770.100,,,2019-07-29 22:04:53,2019-07-29 22:04:53,0.009s,PASSED
"click(findTestObject(""Login/Page_Index/link-Login""))",Chrome 75.0.3770.100,,,2019-07-29 22:04:53,2019-07-29 22:05:00,6.242s,PASSED
"loginAction(userInvalid, passwordInvalid)",Chrome 75.0.3770.100,,,2019-07-29 22:05:00,2019-07-29 22:05:00,0.001s,PASSED
"setText(findTestObject(""Login/Page_SignIn/input_UserName""), username)",Chrome 75.0.3770.100,,,2019-07-29 22:05:00,2019-07-29 22:05:00,0.158s,PASSED
"setEncryptedText(findTestObject(""Login/Page_SignIn/input_Password""), password)",Chrome 75.0.3770.100,,,2019-07-29 22:05:00,2019-07-29 22:05:00,0.159s,PASSED
"click(findTestObject(""Login/Page_SignIn/btn_signIn""))",Chrome 75.0.3770.100,,,2019-07-29 22:05:00,2019-07-29 22:05:06,5.755s,PASSED
"verifyElementText(findTestObject(""Login/Page_SignIn/label_errorMessage""), errorInvalid)",Chrome 75.0.3770.100,,,2019-07-29 22:05:06,2019-07-29 22:05:06,0.032s,PASSED
"loginAction(userValid, passwordValid)",Chrome 75.0.3770.100,,,2019-07-29 22:05:06,2019-07-29 22:05:06,0.001s,PASSED
"setText(findTestObject(""Login/Page_SignIn/input_UserName""), username)",Chrome 75.0.3770.100,,,2019-07-29 22:05:06,2019-07-29 22:05:06,0.113s,PASSED
"setEncryptedText(findTestObject(""Login/Page_SignIn/input_Password""), password)",Chrome 75.0.3770.100,,,2019-07-29 22:05:06,2019-07-29 22:05:06,0.118s,PASSED
"click(findTestObject(""Login/Page_SignIn/btn_signIn""))",Chrome 75.0.3770.100,,,2019-07-29 22:05:06,2019-07-29 22:05:12,6.248s,PASSED
"verifyElementText(findTestObject(""Login/Page_Member/link-Username""), userName)",Chrome 75.0.3770.100,,,2019-07-29 22:05:12,2019-07-29 22:05:14,1.437s,FAILED
