Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MainTest,Chrome 75.0.3770.100,,,2019-07-29 22:04:09,2019-07-29 22:05:14,1m - 5.007s,INCOMPLETE
,,,,,,,
Test Cases/SearchProduct,Chrome 75.0.3770.100,To validate search item,,2019-07-29 22:04:09,2019-07-29 22:04:36,27.240s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-29 22:04:09,2019-07-29 22:04:11,1.669s,PASSED
navigateToUrl(Site_URL),Chrome 75.0.3770.100,,,2019-07-29 22:04:11,2019-07-29 22:04:20,8.912s,PASSED
"verifyMatch(getUrl(), Site_URL, false)",Chrome 75.0.3770.100,,,2019-07-29 22:04:20,2019-07-29 22:04:20,0.027s,PASSED
searchAction(searchInvalid),Chrome 75.0.3770.100,,,2019-07-29 22:04:20,2019-07-29 22:04:20,0.001s,PASSED
"lelongweb.keyword.setText(findTestObject(""SearchProduct/Page_Index/input_searchText""), text)",Chrome 75.0.3770.100,,,2019-07-29 22:04:20,2019-07-29 22:04:20,0.251s,PASSED
"click(findTestObject(""SearchProduct/Page_Index/span_searchButton""))",Chrome 75.0.3770.100,,,2019-07-29 22:04:20,2019-07-29 22:04:27,7.338s,PASSED
"verifyElementText(findTestObject(""SearchProduct/Page_Result/span_noResult""), searchNotFound)",Chrome 75.0.3770.100,,,2019-07-29 22:04:27,2019-07-29 22:04:27,0.042s,PASSED
searchAction(searchValid),Chrome 75.0.3770.100,,,2019-07-29 22:04:27,2019-07-29 22:04:27,0.001s,PASSED
"lelongweb.keyword.setText(findTestObject(""SearchProduct/Page_Index/input_searchText""), text)",Chrome 75.0.3770.100,,,2019-07-29 22:04:27,2019-07-29 22:04:27,0.106s,PASSED
"click(findTestObject(""SearchProduct/Page_Index/span_searchButton""))",Chrome 75.0.3770.100,,,2019-07-29 22:04:27,2019-07-29 22:04:36,8.321s,PASSED
