Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MainTest,Chrome 75.0.3770.100,,,2019-07-29 21:03:29,2019-07-29 21:04:01,32.355s,INCOMPLETE
,,,,,,,
Test Cases/SearchProduct,Chrome 75.0.3770.100,To validate search item,,2019-07-29 21:03:29,2019-07-29 21:03:41,11.808s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-29 21:03:29,2019-07-29 21:03:31,1.567s,PASSED
navigateToUrl(Site_URL),Chrome 75.0.3770.100,,,2019-07-29 21:03:31,2019-07-29 21:03:36,5.138s,PASSED
"verifyMatch(getUrl(), Site_URL, false)",Chrome 75.0.3770.100,,,2019-07-29 21:03:36,2019-07-29 21:03:36,0.026s,PASSED
searchAction(searchInvalid),Chrome 75.0.3770.100,,,2019-07-29 21:03:36,2019-07-29 21:03:36,0.001s,PASSED
"lelongweb.keyword.setText(findTestObject(""SearchProduct/Page_Index/input_searchText""), text)",Chrome 75.0.3770.100,,,2019-07-29 21:03:36,2019-07-29 21:03:36,0.240s,PASSED
"click(findTestObject(""SearchProduct/Page_Index/span_searchButton""))",Chrome 75.0.3770.100,,,2019-07-29 21:03:36,2019-07-29 21:03:37,1.122s,PASSED
"verifyElementText(findTestObject(""SearchProduct/Page_Result/span_noResult""), searchNotFound)",Chrome 75.0.3770.100,,,2019-07-29 21:03:37,2019-07-29 21:03:37,0.043s,PASSED
searchAction(searchValid),Chrome 75.0.3770.100,,,2019-07-29 21:03:37,2019-07-29 21:03:37,0.001s,PASSED
"lelongweb.keyword.setText(findTestObject(""SearchProduct/Page_Index/input_searchText""), text)",Chrome 75.0.3770.100,,,2019-07-29 21:03:37,2019-07-29 21:03:37,0.114s,PASSED
"click(findTestObject(""SearchProduct/Page_Index/span_searchButton""))",Chrome 75.0.3770.100,,,2019-07-29 21:03:37,2019-07-29 21:03:41,3.064s,PASSED
countResult = lelongweb.keyword.countElement(searchResultList),Chrome 75.0.3770.100,,,2019-07-29 21:03:41,2019-07-29 21:03:41,0.098s,PASSED
"verifyGreaterThan(countResult, 6)",Chrome 75.0.3770.100,,,2019-07-29 21:03:41,2019-07-29 21:03:41,0.006s,PASSED
"getText(findTestObject(""SearchProduct/Page_Result/span_resultInItems"")).contains(searchValid)",Chrome 75.0.3770.100,,,2019-07-29 21:03:41,2019-07-29 21:03:41,0.049s,PASSED
closeBrowser(),Chrome 75.0.3770.100,,,2019-07-29 21:03:41,2019-07-29 21:03:41,0.155s,PASSED
,,,,,,,
Test Cases/Register,Chrome 75.0.3770.100,To validate register page,,2019-07-29 21:03:41,2019-07-29 21:03:53,11.692s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-29 21:03:41,2019-07-29 21:03:42,0.951s,PASSED
navigateToUrl(Site_URL),Chrome 75.0.3770.100,,,2019-07-29 21:03:42,2019-07-29 21:03:50,8.469s,PASSED
"verifyMatch(getUrl(), Site_URL, false)",Chrome 75.0.3770.100,,,2019-07-29 21:03:50,2019-07-29 21:03:50,0.008s,PASSED
"click(findTestObject(""Register/Page_Index/link-Register""))",Chrome 75.0.3770.100,,,2019-07-29 21:03:50,2019-07-29 21:03:52,1.984s,PASSED
"verifyElementText(findTestObject(""Register/Page_Register/label_signUp""), signUpLabel)",Chrome 75.0.3770.100,,,2019-07-29 21:03:52,2019-07-29 21:03:52,0.030s,PASSED
closeBrowser(),Chrome 75.0.3770.100,,,2019-07-29 21:03:52,2019-07-29 21:03:53,0.150s,PASSED
,,,,,,,
Test Cases/Login,Chrome 75.0.3770.100,To validate login activity,,2019-07-29 21:03:53,2019-07-29 21:04:01,8.695s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-29 21:03:53,2019-07-29 21:03:54,0.922s,PASSED
navigateToUrl(Site_URL),Chrome 75.0.3770.100,,,2019-07-29 21:03:54,2019-07-29 21:03:58,4.580s,PASSED
"verifyMatch(getUrl(), Site_URL, false)",Chrome 75.0.3770.100,,,2019-07-29 21:03:58,2019-07-29 21:03:58,0.009s,PASSED
"click(findTestObject(""Login/Page_Index/link-Login""))",Chrome 75.0.3770.100,,,2019-07-29 21:03:58,2019-07-29 21:03:59,0.673s,PASSED
"loginAction(userInvalid, passwordInvalid)",Chrome 75.0.3770.100,,,2019-07-29 21:03:59,2019-07-29 21:03:59,0.001s,PASSED
"setText(findTestObject(""Login/Page_SignIn/input_UserName""), username)",Chrome 75.0.3770.100,,,2019-07-29 21:03:59,2019-07-29 21:03:59,0.139s,PASSED
"setEncryptedText(findTestObject(""Login/Page_SignIn/input_Password""), password)",Chrome 75.0.3770.100,,,2019-07-29 21:03:59,2019-07-29 21:03:59,0.175s,PASSED
"click(findTestObject(""Login/Page_SignIn/btn_signIn""))",Chrome 75.0.3770.100,,,2019-07-29 21:03:59,2019-07-29 21:04:00,0.519s,PASSED
"verifyElementText(findTestObject(""Login/Page_SignIn/label_errorMessage""), errorInvalid)",Chrome 75.0.3770.100,,,2019-07-29 21:04:00,2019-07-29 21:04:00,0.067s,PASSED
"loginAction(userValid, passwordValid)",Chrome 75.0.3770.100,,,2019-07-29 21:04:00,2019-07-29 21:04:00,0.000s,PASSED
"setText(findTestObject(""Login/Page_SignIn/input_UserName""), username)",Chrome 75.0.3770.100,,,2019-07-29 21:04:00,2019-07-29 21:04:00,0.114s,PASSED
"setEncryptedText(findTestObject(""Login/Page_SignIn/input_Password""), password)",Chrome 75.0.3770.100,,,2019-07-29 21:04:00,2019-07-29 21:04:00,0.094s,PASSED
